SymbolicName,NodeId,NodeClass
EquipmentType_Equipment_Placeholder_AssetAssignment_Id,5319,Variable
EquipmentType_Equipment_Placeholder_AssetAssignment_AssignmentDescription,5320,Variable
EquipmentType_Equipment_Placeholder_AssetAssignment_StartTime,5321,Variable
EquipmentType_Equipment_Placeholder_AssetAssignment_StopTime,5322,Variable
EquipmentType_AssetAssignment,5328,Variable
EquipmentType_AssetAssignment_Id,5329,Variable
EquipmentType_AssetAssignment_AssignmentDescription,5330,Variable
EquipmentType_AssetAssignment_StartTime,5331,Variable
EquipmentType_AssetAssignment_StopTime,5332,Variable
AssembledFromSublot,5333,ReferenceType
